704006009080010000003020450000000002056000780100000000025030100000040060900500307 # 27 # 10 # 2022 # 001 # 2022-10-27 # 81 # 2022-10-27-SC--001 # SC #  # Cracking The Cryptic # Easy # 220 # 0:15:11 #  # FH NS
600407100000000072000050000209000600003000000418006009005300000070900410130000000 # 25 # 10 # 2022 #  # 2022-10-25 # 81 # 2022-10-25-EP-EXP # EP # EXP # El Pais # Medium # 278 # 0:22:42 #  # FH NS HS LP
109000700000037010004000800065910000080306050000078960001000500040020000006000108 # 12 # 01 # 2017 # 03911 # 2017-01-12 # 81 # 2017-01-12-TG-TGH-03911 # TG # TGH # Telegraph # Medium # 296 #  #  # 
031900000020043060509070000200030000608000004000020006000000407090350080000001650 # 20 # 03 # 2013 # 02558 # 2013-03-20 # 81 # 2013-03-20-TG-TGH-02558 # TG # TGH # Telegraph # Medium # 300 #  #  # 
000020009000305000805600004907100005080060040400008703700006102000901000100040000 # 08 # 02 # 2014 # 02842 # 2014-02-08 # 81 # 2014-02-08-TG-TGH-02842 # TG # TGH # Telegraph # Medium # 306 #  #  # 
000809100600000000040000087476008030500706008030400672710000090000000000008102000 # 28 # 02 # 2015 # 03227 # 2015-02-28 # 81 # 2015-02-28-TG-TGH-03227 # TG # TGH # Telegraph # Medium # 306 #  #  # 
900000002108900406040705000000104000090070080000308000000507020304009807600000009 # 25 # 01 # 2017 # 03924 # 2017-01-25 # 81 # 2017-01-25-TG-TGH-03924 # TG # TGH # Telegraph # Medium # 306 #  #  # 
082000609000000000017690250000028400300000002008310000023071940000000000900000820 # 02 # 03 # 2017 # 03960 # 2017-03-02 # 81 # 2017-03-02-TG-TGH-03960 # TG # TGH # Telegraph # Medium # 306 #  #  # 
500004180080010070000000005300047006050608030600100004700000000010090020039200001 # 18 # 08 # 2021 # 05590 # 2021-08-18 # 81 # 2021-08-18-TG-TGH-05590 # TG # TGH # Telegraph # Medium # 306 #  #  # 
801000000050000047409000200006940000030720050000081900005000604340000090000000708 # 03 # 03 # 2016 # 03596 # 2016-03-03 # 81 # 2016-03-03-TG-TGH-03596 # TG # TGH # Telegraph # Medium # 310 #  #  # 
000013900005790000013000008090500002570000084300004060100000240000046800006820000 # 27 # 10 # 2022 # 008 # 2022-10-27 # 81 # 2022-10-27-SC--008 # SC #  # Thomas Snyder # Easy # 312 # 0:14:37 #  # FH NS HS
000060000502000306000090207003100409045000130108004700804070000307000801000020000 # 04 # 08 # 2011 # 02049 # 2011-08-04 # 81 # 2011-08-04-TG-TGH-02049 # TG # TGH # Telegraph # Medium # 312 #  #  # 
000800070080520060900017003005040030600000002020070000700030001030054000010009000 # 09 # 06 # 2021 # 05520 # 2021-06-09 # 81 # 2021-06-09-TG-TGH-05520 # TG # TGH # Telegraph # Medium # 314 #  #  # 
000005006000608090000040080009030140005000900017009800060080000020506000100790000 # 28 # 07 # 2021 # 05569 # 2021-07-28 # 81 # 2021-07-28-TG-TGH-05569 # TG # TGH # Telegraph # Medium # 314 #  #  # 
810000006200008930073000008000030060400000005050090000300000150084200073700000049 # 30 # 09 # 2015 # 03441 # 2015-09-30 # 81 # 2015-09-30-TG-TGH-03441 # TG # TGH # Telegraph # Medium # 316 #  #  # 
300000000000145300000600040590060407600000005802070093020003000007894200000000001 # 23 # 10 # 2019 # 04925 # 2019-10-23 # 81 # 2019-10-23-TG-TGH-04925 # TG # TGH # Telegraph # Medium # 316 #  #  # 
000000000090100820500307004054000007023080510100000940700803009039006080000000000 # 18 # 11 # 2020 # 05317 # 2020-11-18 # 81 # 2020-11-18-TG-TGH-05317 # TG # TGH # Telegraph # Medium # 316 #  #  # 
670000300008000129200000007000706000006305804000908000400000003869000400003000016 # 04 # 03 # 2021 # 05423 # 2021-03-04 # 81 # 2021-03-04-TG-TGH-05423 # TG # TGH # Telegraph # Medium # 316 #  #  # 
600000002304009000000013000500000070820000064070000009000820000400100805900406000 # 01 # 07 # 2009 # 01394 # 2009-07-01 # 81 # 2009-07-01-TG-TGH-01394 # TG # TGH # Telegraph # Medium # 318 #  #  # 
000960000050000000604013800590607030000000000080304027003250106000000040000006003 # 09 # 03 # 2011 # 01922 # 2011-03-09 # 81 # 2011-03-09-TG-TGH-01922 # TG # TGH # Telegraph # Medium # 320 #  #  # 
010000000080640710000030004040300002700000005800709040500010003036095020000000090 # 11 # 11 # 2015 # 03483 # 2015-11-11 # 81 # 2015-11-11-TG-TGH-03483 # TG # TGH # Telegraph # Medium # 320 #  #  # 
000003000000274908071006005003007000107000402000300700600700540804951000000400000 # 02 # 04 # 2022 # 05817 # 2022-04-02 # 81 # 2022-04-02-TG-TGH-05817 # TG # TGH # Telegraph # Medium # 322 #  #  # 
000580010008000600510000203007600930000070000039002100000000098004000700090017000 # 28 # 03 # 2013 # 02565 # 2013-03-28 # 81 # 2013-03-28-TG-TGH-02565 # TG # TGH # Telegraph # Medium # 324 #  #  # 
