000306000000000173050709000007000801081040620600000400000604090562000000000805000|Saturday, 23rd January 2016|3556|Tough
080415030600700000070000010003200000710080025000007800030000060000001009060523070|Saturday, 3rd March 2018|4326|Tough
041000700800500000705010008900000000080406020030000000500070301000008009002000040|Saturday, 12th December 2015|3514|Tough
700803002000000900400001007006080703000209000002030000800000004005000600300602008|Thursday, 24th September 2009|1467|Tough
300007100050010040800003902900001005006000300500600001108300007020040030005200006|Thursday, 2nd November 2017|4205|Tough
410006080000030054003002100025060000900000003000090740000000500570080000040500028|Friday, 11th December 2020|5340|Diabolical
001060000400730005080000020003002006000080000600000400070000059800093702000010800|Saturday, 6th August 2022|5943|Tough
207000500000600900480030000600000400030000010005040000000520069001003000006001802|Friday, 9th March 2012|2236|Diabolical
020000060105006402090008000300070000560000041000010003000500079709300804080000030|Friday, 8th July 2022|5914|Diabolical
006040070500302000000070040903405000000000020000601008080090000000004001090060030|Wednesday, 3rd August 2022|5940|Tough
007200000030900050009000008006150400000402700002008300500000800070001060003007200|Friday, 18th June 2010|1696|Diabolical
400002006308000040009103000000380001006000500500021004000508700030000402600000008|Saturday, 12th April 2014|2905|Tough
100004007000280000000000300407000908020700010308000602005000400002003000900600005|Saturday, 2nd June 2018|4417|Tough
004000000070000260000207003045800001908400705100003420800906000003000050000000900|Wednesday, 5th August 2009|1424|Tough
500000070200079006000028500092403000000060000000205140004710000900850004010000008|Friday, 11th May 2012|2290|Diabolical
007000000000600090012307460000035040003206100040790000096401870080003000000000200|Wednesday, 25th March 2015|3252|Tough
800040071020000000000006800060210005003608900200070030005120000000000090300090004|Wednesday, 10th May 2017|4029|Tough
508004700400250000000090200060000003003000100700000060005020000004013002006800901|Thursday, 24th February 2011|1911|Tough
007300000000020000208000605002063900070801040004250800901000564000040000000009100|Saturday, 30th January 2021|5390|Tough
050060030000000000600309005002400100108902604004006900300608002000000080080020010|Wednesday, 25th September 2013|2720|Tough
005020009000407000309000006073005090000060000010800200100000802000608000500030600|Friday, 16th November 2012|2452|Diabolical
700100904040000080000800000007008000100900703000603200000002000070090050402006007|Wednesday, 18th May 2011|1982|Tough
000080000602107400400000200020400000700050309000008640001000002004703501000000000|Friday, 23rd January 2009|1261|Diabolical
601094008000280031000000600430010060000000000060000029004000000590061000200050803|Saturday, 16th November 2019|4949|Tough
003200900500007081060800000800070000120050009000000002000004060640000008007001300|Thursday, 14th October 2021|5647|Tough
040050000005104300903008000300000126400000003156000009000600802002809600000020090|Thursday, 2nd February 2012|2205|Tough
025000430080530106000000000008010900200000008093060500000000000906084070057000380|Wednesday, 23rd November 2011|2144|Tough
050700010200800070003000005700020009500601002100090000402000500080003000010008060|Friday, 18th April 2014|2911|Diabolical
000204600007030040000700000500040800070603050301090002000005000020070300003401200|Thursday, 20th October 2011|2115|Tough
900502006000000800070060400009104200030000010002906500023080050005000000800605001|Thursday, 3rd March 2022|5787|Tough
